1	8	121	121	1	0
1	3	236	347	1	0
1	4	236	347	1	0
1	5	121	464	1	0
1	8	585	585	2	464
1	10	589	589	1	0
1	5	700	816	2	236
1	3	589	940	2	242
1	4	589	940	2	242
1	9	940	940	1	0
1	2	1306	1306	1	0
1	11	121	1430	1	0
1	12	1430	1430	1	0
1	8	1662	1662	3	1077
1	13	121	1782	1	0
1	8	2025	2158	4	363
1	13	2275	2387	2	493
1	2	2387	2387	2	1081
1	8	2387	2387	5	229
1	13	2744	2969	3	357
1	8	2969	3195	6	582
1	13	3315	3437	4	346
1	8	4030	4030	7	835
1	13	3672	4272	5	235
1	8	5130	5254	8	1100
1	8	5517	5747	9	263
1	14	4882	6132	1	0
1	15	5130	6249	1	0
1	8	6019	6365	10	272
1	13	4638	6489	6	366
1	8	6605	6605	11	240
1	12	4882	6845	2	3452
1	11	1789	7200	2	359
1	7	7428	7653	1	0
1	5	7542	8130	3	6726
1	7	8007	8130	2	354
1	13	6845	8742	7	356
1	5	8742	8867	4	612
1	4	7428	9105	3	6488
1	5	9228	9353	5	361
1	8	9476	9476	12	2871
1	5	9598	9713	6	245
1	13	9105	9957	8	363
1	5	9957	9957	7	244
1	8	10075	10075	13	599
1	11	7542	10188	3	342
1	16	10432	10432	1	0
1	15	10432	10552	2	4183
1	8	10549	10557	14	474
1	2	10674	10674	3	8287
1	5	10195	10911	8	238
1	2	10911	10911	4	237
1	15	10787	10915	3	235
1	16	10911	10915	2	479
1	8	11033	11033	15	476
1	10	11157	11157	2	10568
1	17	11157	11157	1	0
1	15	11267	11385	4	352
1	5	11157	11494	9	246
1	16	11499	11726	3	584
1	7	11726	11726	3	3596
1	15	11835	11835	5	450
1	13	10195	12197	9	238
1	7	12680	12680	4	954
1	5	12069	12901	10	575
1	15	12441	12908	6	606
1	5	13030	13030	11	129
1	12	7200	13282	3	355
1	15	13037	13545	7	129
1	12	13421	13545	4	139
1	10	13671	13671	3	2514
1	5	13282	13793	12	252
1	7	13415	14029	5	735
1	5	14261	14261	13	468
1	11	10544	15136	4	356
1	15	13912	15257	8	367
1	7	15390	15390	6	1361
1	16	15390	15390	4	3664
1	8	15508	15508	16	4475
1	16	15641	15641	5	251
1	7	15885	15885	7	495
1	5	15136	16004	14	875
1	16	15885	16004	6	244
1	16	16129	16135	7	125
1	7	16135	16135	8	250
1	16	17091	17207	8	956
1	8	17207	17316	17	1699
1	11	15390	17426	5	254
1	12	17316	17538	5	3771
1	5	16129	17784	15	125
1	7	17660	17784	9	1525
1	2	18015	18029	5	7104
1	8	18398	18398	18	1082
1	8	19090	19090	19	692
1	15	19090	19209	9	3833
1	4	9476	19323	4	371
1	13	12680	19699	10	483
1	10	20200	20200	4	6529
1	12	18851	20816	6	1313
1	4	19577	21178	5	254
1	17	21297	21304	2	10140
1	17	21661	21661	3	357
1	5	21770	21995	16	3986
1	7	21879	21995	10	4095
1	4	21426	22376	6	248
1	17	22383	22383	4	722
1	11	17660	24542	6	234
1	4	22614	25165	7	238
1	11	24796	26642	7	254
1	8	27102	27102	20	8012
1	18	121	29263	1	0
1	10	30457	30457	5	10257
1	18	29503	32860	2	240
1	11	26768	35274	8	126
1	10	37736	37736	6	7279
1	10	40043	40043	7	2307
1	10	41261	41261	8	1218
1	10	43304	43304	9	2043
1	11	35663	50217	9	389
1	10	50465	50465	10	7161
1	10	53501	53501	11	3036
1	10	56511	56511	12	3010
1	10	59055	59055	13	2544
1	11	50465	63660	10	248
1	10	68235	68235	14	9180
1	11	64003	72963	11	343
1	6	74547	74554	1	0
1	11	73339	75041	12	376
1	17	75925	75925	5	53542
1	11	75296	77374	13	255
1	10	77594	77594	15	9359
1	7	80039	80039	11	58044
1	17	80177	80759	6	4252
1	7	80408	80881	12	369
1	11	77713	81636	14	339
1	18	33112	82704	3	252
1	2	82948	82948	6	64919
