ID #	Class	Incidence	Occurence   :	Total	ID 1	ID 2	ID 3	ID 4	ID 5	ID 6	ID 7	ID 8	ID 9
				Contact Time :
1	1	8				143	0	32	6	36	13	3	26	24	3
						69951	0	4835	19964	32600	7208	3	2211	3005	125

2	1	8				168	19	0	43	16	2	12	36	6	34
						68818	1260	0	18674	6441	2	4387	12311	1414	24329

3	1	8				224	8	59	0	19	1	8	45	13	71
						276035	19716	26624	0	24196	590	6087	17513	857	180452

4	1	8				188	17	24	29	0	11	31	16	35	25
						142741	38980	10432	33451	0	16725	10915	5777	10788	15673

5	1	8				82	16	11	3	18	0	6	4	23	1
						26007	6572	606	3	13296	0	4281	15	1233	1

6	1	8				124	2	20	7	28	7	0	13	39	8
						44508	9	4395	5677	8052	3150	0	2734	17225	3266

7	1	8				166	27	51	22	16	17	17	0	7	9
						50877	2948	11311	8606	11018	6518	4516	0	1284	4676

8	1	8				99	24	10	2	34	16	11	1	0	1
						22407	1200	1607	581	5037	2285	11695	1	0	1

9	1	8				170	17	34	66	10	2	9	8	24	0
						198281	1229	29302	145767	7025	6	4122	6372	4458	0

10	2	9				185	15	11	2	60	7	5	5	56	24
						79049	15	1561	2	11446	248	33771	11	25983	6012

11	2	9				231	119	18	16	14	17	14	14	16	3
						382543	225934	5999	1930	40508	6756	32336	2191	50253	16636

12	2	7				42	12	3	0	7	1	3	3	13	0
						34734	17458	240	0	9185	6021	827	3	1000	0

13	2	8				52	10	6	2	6	3	18	0	6	1
						67715	16351	1060	455	12882	11821	4000	0	21030	116

14	2	6				17	7	0	3	3	0	1	0	2	1
						12834	6633	0	2520	3315	0	363	0	2	1

15	2	9				52	11	3	9	9	3	6	1	9	1
						30569	6674	121	1830	8498	248	5306	3076	4815	1

16	2	7				56	13	1	4	14	2	11	0	11	0
						21059	3693	1	1717	6576	2	4969	0	4101	0

17	2	9				161	11	24	31	10	4	11	6	6	58
						107921	1096	14690	33931	11546	4018	14181	5899	1331	21229

18	2	9				126	22	14	6	6	4	20	7	43	4
						348025	230443	1544	20213	42652	12160	1590	13	22536	16874

19	2	9				52	1	11	10	8	14	1	1	5	1
						144256	102959	1083	5400	27127	7183	1	1	501	1

20	2	6				43	9	5	3	0	0	0	4	15	7
						36540	1109	633	464	0	0	0	14	11894	22426

21	2	2				6	0	5	0	0	0	0	1	0	0
						373	0	240	0	0	0	0	133	0	0

22	2	6				6	0	1	1	1	0	1	1	0	1
						9	0	1	4	1	0	1	1	0	1

23	2	2				4	0	1	0	0	0	0	0	0	3
						4	0	1	0	0	0	0	0	0	3

24	2	2				2	0	1	0	0	0	0	0	0	1
						247	0	239	0	0	0	0	0	0	8

25	2	2				2	0	1	0	0	0	0	1	0	0
						2	0	1	0	0	0	0	1	0	0

26	2	2				15	0	0	14	1	0	0	0	0	0
						744	0	0	743	1	0	0	0	0	0

27	2	2				34	0	0	20	0	0	0	0	0	14
						8231	0	0	1477	0	0	0	0	0	6754

28	2	2				2	0	0	1	1	0	0	0	0	0
						19	0	0	1	18	0	0	0	0	0

29	2	3				4	0	0	2	1	0	0	1	0	0
						9	0	0	2	1	0	0	6	0	0

30	2	3				6	0	0	0	4	1	1	0	0	0
						716	0	0	0	714	1	1	0	0	0

31	2	3				3	0	0	0	1	1	1	0	0	0
						2859	0	0	0	2277	347	235	0	0	0

32	2	2				3	0	0	0	2	1	0	0	0	0
						617	0	0	0	616	1	0	0	0	0

33	2	3				5	0	0	0	1	2	2	0	0	0
						1556	0	0	0	958	596	2	0	0	0

34	2	2				5	0	0	0	2	0	0	0	3	0
						1486	0	0	0	981	0	0	0	505	0

35	2	2				2	0	0	0	1	0	0	1	0	0
						2	0	0	0	1	0	0	1	0	0

36	2	1				4	0	0	0	0	4	0	0	0	0
						138	0	0	0	0	138	0	0	0	0

37	2	1				5	0	0	0	0	5	0	0	0	0
						1038	0	0	0	0	1038	0	0	0	0

38	2	2				2	0	0	0	0	0	1	0	1	0
						117	0	0	0	0	0	116	0	1	0

39	2	1				3	0	0	0	0	0	3	0	0	0
						3	0	0	0	0	0	3	0	0	0

40	2	1				3	0	0	0	0	0	3	0	0	0
						1200	0	0	0	0	0	1200	0	0	0

41	2	1				35	0	0	0	0	0	35	0	0	0
						44784	0	0	0	0	0	44784	0	0	0

42	2	1				8	0	0	0	0	0	8	0	0	0
						1775	0	0	0	0	0	1775	0	0	0

43	2	1				3	0	0	0	0	0	3	0	0	0
						759	0	0	0	0	0	759	0	0	0

44	2	1				4	0	0	0	0	0	4	0	0	0
						731	0	0	0	0	0	731	0	0	0

45	2	1				4	0	0	0	0	0	4	0	0	0
						376	0	0	0	0	0	376	0	0	0

46	2	1				3	0	0	0	0	0	3	0	0	0
						7	0	0	0	0	0	7	0	0	0

47	2	1				2	0	0	0	0	0	2	0	0	0
						3470	0	0	0	0	0	3470	0	0	0

48	2	1				3	0	0	0	0	0	3	0	0	0
						3116	0	0	0	0	0	3116	0	0	0

49	2	1				3	0	0	0	0	0	3	0	0	0
						244	0	0	0	0	0	244	0	0	0

50	2	1				2	0	0	0	0	0	2	0	0	0
						2	0	0	0	0	0	2	0	0	0

51	2	1				5	0	0	0	0	0	5	0	0	0
						1343	0	0	0	0	0	1343	0	0	0

52	2	1				4	0	0	0	0	0	4	0	0	0
						706	0	0	0	0	0	706	0	0	0

53	2	1				4	0	0	0	0	0	4	0	0	0
						1059	0	0	0	0	0	1059	0	0	0

54	2	1				4	0	0	0	0	0	4	0	0	0
						717	0	0	0	0	0	717	0	0	0

55	2	1				2	0	0	0	0	0	2	0	0	0
						940	0	0	0	0	0	940	0	0	0

56	2	1				2	0	0	0	0	0	2	0	0	0
						359	0	0	0	0	0	359	0	0	0

57	2	1				2	0	0	0	0	0	2	0	0	0
						1214	0	0	0	0	0	1214	0	0	0

58	2	1				2	0	0	0	0	0	2	0	0	0
						23	0	0	0	0	0	23	0	0	0

59	2	1				5	0	0	0	0	0	5	0	0	0
						2901	0	0	0	0	0	2901	0	0	0

60	2	1				4	0	0	0	0	0	4	0	0	0
						372	0	0	0	0	0	372	0	0	0

61	2	1				3	0	0	0	0	0	3	0	0	0
						361	0	0	0	0	0	361	0	0	0

62	2	1				2	0	0	0	0	0	2	0	0	0
						841	0	0	0	0	0	841	0	0	0

63	2	1				4	0	0	0	0	0	4	0	0	0
						474	0	0	0	0	0	474	0	0	0

64	2	1				4	0	0	0	0	0	4	0	0	0
						4	0	0	0	0	0	4	0	0	0

65	2	1				8	0	0	0	0	0	8	0	0	0
						847	0	0	0	0	0	847	0	0	0

66	2	1				3	0	0	0	0	0	3	0	0	0
						140	0	0	0	0	0	140	0	0	0

