1,16,1334127549000,96000
1,32,1334148433000,151000
1,32,1334153907000,1000
1,32,1334153908000,1000
1,33,1331153978000,1000
1,33,1331153979000,1000
1,33,1331153980000,110000
1,33,1331155362000,1000
1,33,1331370473000,1000
1,33,1331370731000,1000
1,33,1331370970000,5507000
1,33,1331377591000,1000
1,33,1331377774000,1000
1,33,1331498495000,151000
1,33,1331500323000,1151000
1,33,1331501474000,65000
1,33,1331502842000,1000
1,33,1331502843000,531000
1,33,1331503374000,881000
1,33,1331504255000,1799000
1,33,1331506054000,4520000
1,33,1331510574000,880000
1,33,1331511454000,1000
1,33,1331516214000,1000
1,33,1331516893000,1000
1,33,1331516894000,880000
1,33,1331517774000,880000
1,33,1331518654000,921000
1,33,1331519575000,880000
1,33,1331520455000,920000
1,33,1331521375000,880000
1,33,1331522255000,803000
1,33,1331523058000,997000
1,33,1331524055000,960000
1,33,1331525015000,840000
1,33,1331525855000,920000
1,33,1331526775000,880000
1,33,1331527655000,922000
1,33,1331528577000,811000
1,33,1331529388000,987000
1,33,1331530375000,786000
1,33,1331531161000,1014000
1,33,1331532175000,938000
1,33,1331533113000,222000
1,33,1331533335000,200000
1,33,1331533535000,1000
1,33,1331533976000,1000
1,33,1331534854000,1000
1,33,1331583859000,10000
1,33,1331584616000,1000
1,33,1331584617000,1000
1,33,1331585714000,1000
1,33,1331586734000,1000
1,33,1331586735000,433000
1,33,1331587168000,1000
1,33,1331587550000,483000
1,33,1331589227000,515000
1,33,1331601027000,1314000
1,33,1331603479000,1000
1,33,1331603480000,1806000
1,33,1331605286000,2153000
1,33,1331607439000,1055000
1,33,1331608494000,2514000
1,33,1331611008000,1861000
1,33,1331612869000,834000
1,33,1331613703000,6923000
1,33,1331620626000,161000
1,33,1331620787000,281000
1,33,1331621068000,139000
1,33,1331621207000,1000
1,33,1331621593000,1000
1,33,1331621982000,1000
1,33,1331621983000,134000
1,33,1331622117000,504000
1,33,1331622621000,1000
1,33,1331623466000,1000
1,33,1331670948000,1000
1,33,1331670949000,1000
1,33,1331672537000,396000
1,33,1331674130000,1000
