1	4B5
2	4B5
3	4B5
4	4B5
5	4B5
6	4B5
7	4B5
8	4B5
9	4B5
10	4B5
11	4B5
12	4B5
13	001
14	000
15	000
16	000
17	000
18	000
19	000
20	000
21	000
22	000
23	000
24	000
25	000
26	000
27	000
28	000
29	006
30	001
31	001
32	000
33	000
34	000
35	001
36	001
37	001
38	000
39	001
40	000
41	00E
42	001
43	001
44	000
45	000
46	080
47	000
48	000
49	000
50	000
51	000
52	080
53	000
54	001
55	001
56	000
57	001
58	006
59	000
60	000
61	001
62	000
63	001
64	001
65	000
66	000
67	000
68	001
69	000
70	000
71	001
72	000
73	001
74	4B4
75	006
76	080
77	000
78	000
79	000
80	000
81	006
82	000
83	000
84	001
85	006
86	000
87	006
88	000
89	000
90	001
91	006
92	000
93	000
94	080
95	001
96	000
97	000
98	000
99	000
100	000
101	000
102	000
103	000
104	000
105	001
106	000
107	000
108	000
109	000
110	006
111	000
112	001
113	000
114	000
115	000
116	001
117	000
118	000
119	001
120	00E
121	006
122	000
123	001
124	006
125	006
126	006
127	000
128	000
129	000
130	000
131	635
132	000
133	000
134	000
135	000
136	001
137	006
138	000
139	000
140	001
141	000
142	000
143	000
144	000
145	000
146	001
147	000
148	4B1
149	4B3
150	001
151	001
152	001
153	000
154	001
155	000
156	000
157	000
158	000
159	000
160	000
161	000
162	000
163	000
164	000
165	001
166	000
167	000
168	000
169	000
170	000
171	000
172	000
173	000
174	000
175	000
176	001
177	000
178	00E
179	001
180	000
181	001
182	000
183	000
184	000
185	000
186	006
187	000
188	000
189	000
190	006
191	001
192	000
193	000
194	000
195	000
196	000
197	001
198	001
199	000
200	006
201	001
202	000
203	000
204	000
205	00E
206	000
207	000
208	000
209	001
210	000
211	000
212	000
213	001
214	000
215	000
216	000
217	000
218	001
219	000
220	001
221	000
222	000
223	000
224	4B5
225	4B5
226	4B5
227	4B5
228	4B5
229	4B5
230	4B5
231	4B5
232	4B5
233	4B5
234	000
235	000
236	001
237	010
238	010
239	00A
240	0B0
241	000
242	00A
243	5FF
244	000
245	000
246	0F1
247	500
248	000
249	CB5
250	000
251	000
252	003
253	000
254	000
255	000
256	006
257	000
258	246
259	005
260	385
261	000
262	100
263	000
264	BFF
265	000
266	000
267	000
268	000
269	000
270	000
271	000
272	000
273	006
274	080
275	000
276	006
277	006
278	000
279	000
280	000
281	000
282	001
283	000
284	000
285	008
286	000
287	000
288	000
289	400
290	005
291	001
292	000
293	4B0
294	4B5
295	4F5
296	4B5
297	000
298	4B5
299	2B5
300	4A5
301	811
302	009
303	000
304	000
305	BD0
306	000
307	5B9
308	000
309	030
310	4B5
311	4B5
312	000
313	000
314	415
315	4B5
316	000
317	000
318	4B5
319	0B5
320	800
321	4B3
322	4B5
323	080
324	000
325	000
326	000
327	000
328	000
329	006
330	000
331	000
332	00E
333	001
334	001
335	000
336	000
337	080
338	000
339	080
340	4B5
341	081
342	080
343	001
344	000
345	000
346	001
347	006
348	000
349	006
350	000
351	000
352	000
353	000
354	001
355	001
356	000
357	000
358	001
359	001
360	000
361	000
362	000
363	00E
364	000
365	000
366	000
367	000
368	00E
369	000
370	000
371	000
372	000
373	4B5
374	4B5
375	309
376	060
377	4BF
378	000
379	000
380	001
381	001
382	000
383	000
384	000
385	014
386	000
387	800
388	005
389	900
390	000
391	6B5
392	4B5
393	4B5
394	435
395	4B5
396	4B5
397	00E
398	000
399	4B5
400	000
401	000
402	00E
403	000
404	006
405	006
406	006
407	000
408	0CA
