136429,1526386231000,1526386231000,no result
136432,1526386233000,1526386233000,no result
28085,1526386071000,1526386254000,no result
136351,1526386016000,1526386256000,no result
136434,1526386245000,1526386245000,no result
136435,1526386246000,1526386246000,no result
136433,1526386240000,1526386240000,no result
136438,1526386252000,1526386252000,no result
136439,1526386254000,1526386254000,no result
136436,1526386248000,1526386248000,no result
136437,1526386251000,1526386251000,no result
136442,1526386262000,1526386262000,no result
136443,1526386262000,1526386262000,no result
136440,1526386258000,1526386258000,no result
136441,1526386261000,1526386261000,no result
81735,1526386250000,1526386250000,no result
99485,1526386274000,1526386274000,no result
136444,1526386270000,1526386270000,no result
136445,1526386270000,1526386270000,no result
133720,1526385854000,1526386309000,no result
136405,1526386182000,1526386302000,no result
136446,1526386283000,1526386283000,no result
136447,1526386283000,1526386283000,no result
136450,1526386301000,1526386301000,no result
136448,1526386301000,1526386301000,no result
136449,1526386301000,1526386301000,no result
80795,1526386302000,1526386308000,no result
136451,1526386313000,1526386313000,no result
136454,1526386315000,1526386315000,no result
136455,1526386319000,1526386319000,no result
136452,1526386314000,1526386314000,no result
136453,1526386315000,1526386315000,no result
136456,1526386321000,1526386321000,no result
287,1526385966000,1526386327000,no result
132929,1526386321000,1526386332000,no result
136458,1526386340000,1526386340000,no result
136457,1526386321000,1526386327000,no result
24444,1526386335000,1526386335000,no result
136459,1526386352000,1526386352000,no result
136462,1526386359000,1526386359000,no result
136460,1526386353000,1526386353000,no result
136461,1526386358000,1526386359000,no result
25809,1526385943000,1526386362000,no result
25985,1526386355000,1526386365000,no result
42437,1526385922000,1526386363000,no result
136463,1526386363000,1526386363000,no result
136466,1526386369000,1526386369000,no result
136467,1526386374000,1526386374000,no result
136464,1526386368000,1526386369000,no result
136465,1526386368000,1526386368000,no result
136468,1526386375000,1526386375000,no result
45288,1526386317000,1526386385000,no result
108259,1526386389000,1526386389000,no result
136470,1526386392000,1526386392000,no result
136471,1526386393000,1526386393000,no result
136469,1526386385000,1526386385000,no result
136474,1526386400000,1526386400000,no result
136475,1526386403000,1526386403000,no result
136472,1526386393000,1526386393000,no result
136473,1526386395000,1526386395000,no result
136476,1526386407000,1526386407000,no result
136477,1526386409000,1526386413000,no result
129821,1526386325000,1526386386000,no result
133940,1526385989000,1526386430000,no result
136478,1526386430000,1526386430000,no result
136479,1526386431000,1526386431000,no result
136480,1526386445000,1526386445000,no result
71460,1526386276000,1526386430000,no result
15315,1526386399000,1526386429000,no result
24007,1526386309000,1526386434000,no result
136482,1526386485000,1526386485000,no result
136481,1526386476000,1526386476000,no result
28257,1526386504000,1526386504000,no result
136483,1526386486000,1526386490000,no result
136486,1526386510000,1526386510000,no result
136484,1526386495000,1526386495000,no result
136487,1526386521000,1526386521000,no result
97868,1526386514000,1526386514000,no result
135326,1526386400000,1526386533000,no result
28878,1526386513000,1526386535000,no result
28932,1526386185000,1526386547000,no result
136490,1526386538000,1526386538000,no result
136488,1526386535000,1526386535000,no result
136489,1526386537000,1526386537000,no result
136491,1526386552000,1526386552000,no result
136492,1526386559000,1526386559000,no result
136493,1526386566000,1526386566000,no result
100367,1526386570000,1526386570000,no result
136494,1526386583000,1526386583000,no result
136495,1526386587000,1526386587000,no result
136496,1526386598000,1526386598000,no result
136497,1526386607000,1526386607000,no result
136498,1526386620000,1526386620000,no result
2190,1526386630000,1526386630000,no result
136499,1526386643000,1526386643000,no result
136500,1526386646000,1526386646000,no result
136501,1526386651000,1526386651000,no result
33611,1526386669000,1526386669000,no result
136502,1526386668000,1526386668000,no result
136503,1526386668000,1526386668000,no result
136504,1526386668000,1526386668000,no result
136506,1526386679000,1526386679000,no result
136507,1526386680000,1526386680000,no result
136505,1526386679000,1526386679000,no result
136510,1526386687000,1526386687000,no result
136508,1526386680000,1526386680000,no result
136509,1526386685000,1526386685000,no result
136511,1526386697000,1526386697000,no result
136514,1526386708000,1526386708000,no result
136515,1526386710000,1526386710000,no result
136512,1526386699000,1526386721000,no result
136513,1526386700000,1526386700000,no result
136516,1526386713000,1526386713000,no result
136518,1526386742000,1526386742000,no result
136517,1526386728000,1526386728000,no result
136519,1526386761000,1526386761000,no result
136520,1526386762000,1526386762000,no result
136521,1526386762000,1526386762000,no result
19575,1526386781000,1526386781000,no result
45274,1526384665000,1526386806000,no result
136522,1526386790000,1526386790000,no result
136523,1526386795000,1526386795000,no result
136524,1526386803000,1526386803000,no result
136526,1526386827000,1526386827000,no result
136527,1526386829000,1526386829000,no result
136525,1526386819000,1526386819000,no result
136528,1526386829000,1526386829000,no result
130677,1526386834000,1526386834000,no result
136529,1526386836000,1526386846000,no result
99265,1526386916000,1526386916000,no result
37639,1526386909000,1526386921000,no result
136530,1526386866000,1526386866000,no result
136531,1526386866000,1526386866000,no result
136535,1526386878000,1526386878000,no result
136532,1526386874000,1526386874000,no result
136533,1526386874000,1526386874000,no result
136538,1526386914000,1526386914000,no result
136539,1526386917000,1526386917000,no result
136536,1526386882000,1526386882000,no result
136537,1526386887000,1526386887000,no result
136540,1526386917000,1526386917000,no result
5509,1526386923000,1526386924000,no result
103458,1526386903000,1526386935000,no result
136541,1526386950000,1526386950000,no result
136542,1526386966000,1526386966000,no result
1192,1526386632000,1526386980000,no result
99953,1526387016000,1526387016000,no result
136534,1526386874000,1526387015000,no result
136543,1526387016000,1526387016000,no result
84428,1526387008000,1526387031000,no result
136544,1526387022000,1526387022000,no result
136545,1526387040000,1526387040000,no result
136546,1526387048000,1526387048000,no result
136547,1526387075000,1526387075000,no result
136550,1526387087000,1526387087000,no result
136551,1526387087000,1526387087000,no result
136548,1526387087000,1526387087000,no result
136549,1526387087000,1526387087000,no result
136554,1526387097000,1526387097000,no result
136552,1526387088000,1526387088000,no result
136553,1526387092000,1526387092000,no result
136555,1526387107000,1526387107000,no result
136558,1526387115000,1526387115000,no result
136559,1526387115000,1526387115000,no result
136556,1526387111000,1526387111000,no result
136560,1526387117000,1526387117000,no result
136562,1526387119000,1526387119000,no result
136563,1526387122000,1526387122000,no result
136561,1526387118000,1526387118000,no result
136564,1526387125000,1526387125000,no result
136565,1526387126000,1526387126000,no result
128561,1526387120000,1526387120000,no result
136566,1526387142000,1526387142000,no result
136567,1526387142000,1526387142000,no result
29047,1526385126000,1526387162000,no result
37638,1526387153000,1526387153000,no result
136570,1526387160000,1526387161000,no result
136571,1526387163000,1526387163000,no result
136568,1526387156000,1526387156000,no result
136569,1526387156000,1526387169000,no result
32052,1526387167000,1526387167000,no result
83769,1526387185000,1526387187000,no result
10478,1526387174000,1526387175000,no result
18949,1526387139000,1526387202000,no result
45288,1526386987000,1526387188000,no result
136485,1526386503000,1526387175000,no result
136574,1526387187000,1526387187000,no result
136575,1526387197000,1526387197000,no result
136572,1526387178000,1526387178000,no result
136578,1526387205000,1526387205000,no result
136576,1526387199000,1526387199000,no result
136577,1526387205000,1526387205000,no result
1510,1526387217000,1526387217000,no result
136579,1526387210000,1526387210000,no result
136582,1526387217000,1526387217000,no result
136583,1526387223000,1526387223000,no result
136580,1526387211000,1526387211000,no result
136581,1526387216000,1526387216000,no result
136586,1526387233000,1526387233000,no result
136587,1526387234000,1526387239000,no result
136584,1526387224000,1526387224000,no result
136585,1526387227000,1526387227000,no result
136588,1526387239000,1526387239000,no result
136573,1526387187000,1526387248000,no result
136590,1526387251000,1526387252000,no result
136591,1526387253000,1526387253000,no result
136557,1526387113000,1526387260000,no result
136589,1526387244000,1526387268000,no result
136594,1526387262000,1526387262000,no result
136595,1526387269000,1526387269000,no result
136592,1526387260000,1526387260000,no result
136593,1526387260000,1526387260000,no result
136599,1526387296000,1526387296000,no result
136596,1526387286000,1526387286000,no result
136597,1526387289000,1526387289000,no result
136600,1526387306000,1526387306000,no result
80950,1526387278000,1526387280000,no result
136601,1526387318000,1526387318000,no result
136242,1526387308000,1526387322000,no result
136598,1526387294000,1526387339000,no result
136602,1526387330000,1526387330000,no result
136603,1526387332000,1526387332000,no result
136604,1526387335000,1526387335000,no result
31299,1526387245000,1526387325000,no result
136606,1526387356000,1526387356000,no result
136607,1526387358000,1526387358000,no result
136605,1526387352000,1526387352000,no result
43685,1526387366000,1526387366000,no result
136608,1526387372000,1526387372000,no result
136609,1526387383000,1526387383000,no result
97570,1526383300000,1526387381000,no result
136610,1526387386000,1526387386000,no result
136611,1526387388000,1526387388000,no result
