# Format: type;msg_id;bytes;hop_src_user_id;hop_dst_user_id;src_timestamp;status
1;-1;4781;1;26;27971;0
1;-1;4781;1;7;27971;0
1;-1;4781;1;13;27998;0
1;-1;4781;1;22;28097;0
1;-1;4781;1;51;28599;1
1;-1;2055;1;22;40033;0
1;-1;4781;1;54;40033;0
1;-1;4781;1;10;40073;0
1;-1;2055;1;13;40137;1
1;-1;4781;1;69;40244;0
1;-1;2055;1;10;40261;0
1;-1;4887;1;22;40978;0
1;-1;4887;1;10;40985;0
1;-1;4887;1;69;40980;0
1;-1;2055;1;10;42189;0
1;-1;2055;1;69;43491;0
1;-1;2055;1;10;45060;0
1;-1;4887;1;9;45393;0
1;-1;4887;1;17;45439;0
1;-1;4887;1;7;45563;1
1;-1;4887;1;56;45696;1
1;-1;4887;1;7;45790;1
1;-1;2055;1;9;46390;1
1;-1;2055;1;69;46533;0
1;-1;2055;1;9;46539;0
1;-1;2055;1;10;46659;0
1;-1;4887;1;3;46754;0
1;-1;2055;1;9;46899;0
1;-1;2055;1;22;46979;0
1;-1;2055;1;69;47290;0
1;-1;2055;1;22;47677;1
1;-1;4887;1;7;47698;1
1;-1;4887;1;7;47917;1
1;-1;4887;1;7;48047;1
1;-1;2055;1;22;48283;1
1;-1;2055;1;9;48503;0
1;-1;2055;1;14;49633;0
1;-1;4887;1;7;49874;1
1;-1;2055;1;9;50150;0
1;-1;4887;1;43;50921;1
1;-1;2055;1;22;50940;0
1;-1;4887;1;16;51125;1
1;-1;4887;1;16;51269;1
1;-1;5519;1;9;51641;0
1;-1;2055;1;9;51704;0
1;-1;5519;1;7;51735;0
1;-1;5519;1;22;51844;0
1;-1;5519;1;7;51979;0
1;-1;5519;1;40;52502;0
1;-1;5519;1;31;52975;1
1;-1;6208;1;33;53338;1
1;-1;6208;1;33;53359;1
1;-1;6208;1;10;53410;1
1;-1;6208;1;10;53555;0
1;-1;6208;1;32;53570;1
1;-1;6208;1;32;53701;0
1;-1;6208;1;33;53897;1
1;-1;6208;1;3;53917;0
1;-1;2055;1;32;54055;1
1;-1;2055;1;33;54076;0
1;-1;2055;1;32;54146;0
1;-1;2055;1;32;54197;0
1;-1;2055;1;33;54260;0
1;-1;2055;1;32;56935;0
1;-1;2055;1;10;57329;0
1;-1;6208;1;5;63372;0
1;-1;2055;1;5;71094;0
1;-1;2055;1;32;88570;0
1;-1;6208;1;9;88573;0
1;-1;6208;1;57;88687;0
1;-1;2055;1;3;89017;0
1;-1;6208;1;22;89160;0
1;-1;2055;1;3;89206;0
1;-1;6208;1;11;89318;1
1;-1;6208;1;11;89622;1
1;-1;6208;1;36;90314;0
1;-1;6208;1;27;90393;1
1;-1;2055;1;57;90413;0
1;-1;6208;1;17;90412;0
1;-1;6208;1;15;90667;0
1;-1;2055;1;22;90673;1
1;-1;2055;1;32;90688;0
1;-1;2055;1;57;90783;0
1;-1;6208;1;75;90822;0
1;-1;2055;1;32;90918;0
1;-1;2055;1;10;91014;0
1;-1;6208;1;11;91016;1
1;-1;2055;1;15;91048;0
1;-1;2055;1;22;91067;0
1;-1;2055;1;17;91327;0
1;-1;2055;1;57;91377;1
1;-1;2055;1;10;91403;1
1;-1;2055;1;22;91426;1
1;-1;2055;1;10;91433;1
1;-1;2055;1;11;91443;1
1;-1;6208;1;47;91467;1
1;-1;2055;1;15;91513;0
1;-1;2055;1;17;91513;1
1;-1;2055;1;32;91518;1
1;-1;2055;1;10;91532;0
1;-1;2055;1;17;91553;1
1;-1;2055;1;57;91589;1
1;-1;6208;1;47;91629;1
1;-1;2055;1;22;91678;1
1;-1;2055;1;17;91707;1
1;-1;2055;1;32;91771;0
1;-1;2055;1;22;91785;0
1;-1;6208;1;47;91787;0
1;-1;2055;1;11;91959;0
1;-1;2055;1;22;92026;0
1;-1;2055;1;17;92145;0
1;-1;2055;1;15;92254;0
1;-1;6208;1;27;92553;1
1;-1;2055;1;47;92555;1
1;-1;2055;1;3;92764;0
1;-1;6208;1;27;92779;1
1;-1;6318;1;29;194547;0
1;-1;6318;1;25;194558;0
1;-1;6318;1;69;194604;0
1;-1;6318;1;39;194619;1
1;-1;6318;1;22;194689;1
1;-1;6318;1;17;194929;1
1;-1;6318;1;22;194990;0
1;-1;6318;1;39;195059;0
1;-1;6318;1;17;195299;0
1;-1;2055;1;29;195333;0
1;-1;6318;1;75;195399;1
1;-1;6318;1;49;195485;0
1;-1;2055;1;39;195494;0
1;-1;6318;1;32;195523;1
1;-1;2055;1;69;195553;0
1;-1;2055;1;22;195689;0
1;-1;2055;1;33;195765;1
1;-1;6318;1;14;195795;1
1;-1;6318;1;11;195823;0
1;-1;2055;1;11;195997;0
1;-1;6318;1;32;196148;0
1;-1;6318;1;14;196225;1
1;-1;6318;1;60;196264;1
1;-1;2055;1;69;196300;0
1;-1;2055;1;60;196643;1
1;-1;2055;1;17;196800;0
1;-1;2055;1;69;197158;1
1;-1;2055;1;22;197396;0
1;-1;2055;1;17;197542;1
1;-1;2055;1;25;197550;1
1;-1;2055;1;11;197566;0
1;-1;2055;1;32;197626;1
1;-1;2055;1;49;197639;0
1;-1;2055;1;25;197641;1
1;-1;2055;1;17;197656;0
1;-1;2055;1;39;197666;0
1;-1;6318;1;3;197677;0
1;-1;6318;1;14;197682;0
1;-1;2055;1;25;197769;1
1;-1;2055;1;69;197829;0
1;-1;2055;1;25;197967;1
1;-1;2055;1;22;198108;0
1;-1;2055;1;22;198319;1
1;-1;2055;1;25;198337;0
1;-1;2055;1;69;198581;0
1;-1;2055;1;17;198592;1
1;-1;6318;1;51;198705;1
1;-1;2055;1;11;198761;0
1;-1;2055;1;22;198774;0
1;-1;2055;1;49;198856;0
1;-1;2055;1;17;198922;0
1;-1;2055;1;49;198969;1
1;-1;2055;1;39;199011;0
1;-1;6318;1;51;199007;1
1;-1;2055;1;49;199016;1
1;-1;6318;1;56;199117;0
1;-1;2055;1;22;199394;0
1;-1;2055;1;49;199409;0
1;-1;3602;2;19;45206;0
1;-1;3602;2;16;48955;0
1;-1;3602;2;10;49000;0
1;-1;3602;2;63;49503;0
1;-1;3602;2;31;53443;1
1;-1;3602;2;9;53959;0
1;-1;3602;2;11;53964;1
1;-1;3602;2;47;54045;0
1;-1;2057;2;9;90707;0
1;-1;3602;2;59;94551;0
1;-1;3602;2;56;94858;0
1;-1;2057;2;56;96412;0
1;-1;2057;2;47;105223;0
1;-1;2057;2;47;105747;0
1;-1;2057;2;40;105868;0
1;-1;2057;2;47;106157;0
1;-1;3602;2;76;106274;1
1;-1;3602;2;42;106387;0
1;-1;3602;2;57;106515;0
1;-1;3602;2;39;106596;0
1;-1;3602;2;76;106655;0
1;-1;3602;2;14;106937;1
1;-1;3602;2;14;107313;0
1;-1;2057;2;14;108086;0
1;-1;3602;2;64;108203;0
1;-1;2057;2;64;108885;0
1;-1;2057;2;56;109887;0
1;-1;3602;2;22;110126;0
1;-1;3602;2;51;110318;0
1;-1;2057;2;51;110671;1
1;-1;3602;2;66;110780;0
1;-1;3602;2;12;110809;0
1;-1;2057;2;19;111010;0
1;-1;2057;2;66;111818;1
1;-1;3602;2;30;111960;0
1;-1;2057;2;66;112072;1
1;-1;2057;2;51;112215;0
1;-1;2057;2;66;112273;1
1;-1;2057;2;19;112320;0
1;-1;2057;2;66;112523;0
1;-1;2057;2;66;112980;0
1;-1;2057;2;47;113865;0
1;-1;2057;2;47;115034;0
1;-1;2057;2;57;115265;0
1;-1;2057;2;19;115382;0
1;-1;2057;2;47;115424;0
1;-1;3602;2;60;115777;0
1;-1;2057;2;12;115885;0
1;-1;2057;2;56;116734;0
1;-1;3602;2;4;117747;1
1;-1;3602;2;15;117900;0
1;-1;3602;2;44;124888;1
1;-1;3602;2;44;125123;0
1;-1;2057;2;60;125664;0
1;-1;2057;2;32;125800;0
1;-1;2057;2;39;125929;0
1;-1;2057;2;3;125973;1
1;-1;3602;2;36;127325;0
1;-1;3602;2;4;127461;0
1;-1;2057;2;3;129812;0
1;-1;2057;2;66;129885;0
1;-1;2057;2;36;129934;0
1;-1;2057;2;60;130140;0
1;-1;3602;2;65;130260;1
1;-1;2057;2;36;130996;1
1;-1;2057;2;3;131088;0
1;-1;2057;2;66;131480;0
1;-1;3602;2;65;131494;0
1;-1;2057;2;15;131678;0
1;-1;3602;2;45;132933;0
1;-1;2057;2;45;134184;1
1;-1;2057;2;45;134542;1
1;-1;2057;2;45;134625;0
1;-1;3602;2;61;136168;0
1;-1;3602;2;27;137363;1
1;-1;2057;2;63;138249;0
1;-1;2057;2;63;140991;0
1;-1;2057;2;63;141765;0
1;-1;3602;2;50;143203;1
1;-1;2830;3;32;104;0
1;-1;2830;3;61;757;1
1;-1;2053;3;32;1138;0
1;-1;2830;3;18;1142;1
1;-1;2830;3;25;1287;1
1;-1;2830;3;18;1368;1
1;-1;2830;3;25;1441;1
1;-1;2830;3;61;1583;1
1;-1;2940;3;61;1658;0
1;-1;3054;3;61;1660;0
1;-1;2940;3;32;1663;0
1;-1;3054;3;32;1665;0
1;-1;2053;3;32;1668;0
1;-1;3054;3;25;1785;0
1;-1;3054;3;45;1788;0
1;-1;2053;3;61;2071;0
1;-1;2053;3;32;2074;0
1;-1;3054;3;74;2505;1
1;-1;3054;3;38;2554;1
1;-1;2053;3;61;2682;0
1;-1;3054;3;7;3216;0
1;-1;3054;3;18;3352;1
1;-1;3054;3;19;3379;0
1;-1;2053;3;61;3386;0
1;-1;3054;3;34;6232;0
1;-1;3054;3;55;34772;0
1;-1;2032;3;55;34945;0
1;-1;2032;3;28;35589;0
1;-1;2032;3;15;35715;0
1;-1;2032;3;21;35759;0
1;-1;2032;3;63;36266;0
1;-1;2032;3;13;36297;1
1;-1;2032;3;21;36384;0
1;-1;2032;3;59;36565;0
1;-1;2032;3;7;36674;1
1;-1;2032;3;55;36742;0
1;-1;2032;3;13;36776;0
1;-1;2032;3;63;37006;0
1;-1;2032;3;4;37809;0
1;-1;2032;3;56;38082;0
1;-1;2146;3;7;38460;0
1;-1;2146;3;23;45223;0
1;-1;2032;3;7;45475;0
1;-1;2146;3;1;45608;1
1;-1;2146;3;10;45861;1
1;-1;2032;3;7;45997;0
1;-1;2146;3;10;46027;1
1;-1;2146;3;9;46063;1
1;-1;2146;3;10;46701;0
1;-1;2146;3;1;46792;0
1;-1;2146;3;9;47316;0
1;-1;2032;3;9;48248;0
1;-1;2032;3;7;48504;0
1;-1;2032;3;1;49959;1
1;-1;2032;3;9;50861;1
1;-1;2032;3;9;51252;0
1;-1;2032;3;9;51480;1
1;-1;2146;3;40;52519;0
1;-1;2032;3;1;53852;1
1;-1;2146;3;17;53876;0
1;-1;2146;3;16;53909;1
1;-1;2032;3;10;53977;0
1;-1;2146;3;33;54055;0
1;-1;2032;3;1;54095;1
1;-1;2032;3;33;54335;0
1;-1;2032;3;33;55144;1
1;-1;2032;3;33;55335;1
1;-1;2032;3;33;56983;0
1;-1;2032;3;33;59789;0
1;-1;2146;3;43;87433;0
1;-1;2032;3;32;87445;0
1;-1;2032;3;9;87547;0
1;-1;2032;3;9;87981;0
1;-1;2146;3;11;88223;0
1;-1;2146;3;22;88468;0
1;-1;2032;3;1;88870;1
1;-1;2032;3;1;89068;0
1;-1;2032;3;1;89517;0
1;-1;2032;3;43;90224;1
1;-1;2146;3;31;90285;0
1;-1;2032;3;11;90335;1
1;-1;2146;3;27;90361;0
1;-1;2146;3;15;90373;0
1;-1;2032;3;22;90410;0
1;-1;2032;3;11;90416;0
1;-1;2032;3;17;90470;0
1;-1;2032;3;43;90652;0
1;-1;2032;3;1;90710;0
1;-1;2146;3;57;90714;0
1;-1;2032;3;32;90722;1
1;-1;2146;3;47;90845;1
1;-1;2032;3;32;90883;0
1;-1;2032;3;43;90989;1
1;-1;2032;3;15;91080;0
1;-1;2032;3;43;91093;1
1;-1;2032;3;31;91229;1
1;-1;2146;3;64;91273;0
1;-1;2146;3;36;91340;0
1;-1;2032;3;27;91370;0
1;-1;2032;3;43;91405;0
1;-1;2032;3;31;91425;1
1;-1;2032;3;31;91477;0
1;-1;2032;3;22;91489;0
1;-1;2146;3;12;91681;1
1;-1;2032;3;43;91752;1
1;-1;2032;3;43;91778;1
1;-1;2032;3;36;91891;0
1;-1;2146;3;75;91894;1
1;-1;2032;3;43;91921;0
1;-1;2032;3;57;91918;1
1;-1;2032;3;10;91929;1
1;-1;2032;3;10;92148;0
1;-1;2032;3;31;92215;0
1;-1;2032;3;64;92217;0
1;-1;2032;3;15;92272;0
1;-1;2032;3;1;92411;0
1;-1;2032;3;32;92458;1
1;-1;2032;3;47;92458;1
1;-1;2032;3;36;92471;0
1;-1;2032;3;31;92590;1
1;-1;2032;3;43;92746;0
