# Format: type;msg_id;hop_src_user_id;hop_dst_user_id;dst_timestamp
1;-1;1;26;27970
1;-1;1;22;28100
1;-1;1;22;28426
1;-1;1;22;40035
1;-1;1;10;40072
1;-1;1;69;40076
1;-1;1;10;40263
1;-1;1;22;40260
1;-1;1;10;40621
1;-1;1;10;40907
1;-1;1;69;41032
1;-1;1;10;41080
1;-1;1;10;41091
1;-1;1;69;41162
1;-1;1;10;41180
1;-1;1;69;42156
1;-1;1;10;42205
1;-1;1;10;42345
1;-1;1;10;45061
1;-1;1;9;45063
1;-1;1;56;45405
1;-1;1;10;45870
1;-1;1;69;46225
1;-1;1;10;46673
1;-1;1;3;46754
1;-1;1;9;46902
1;-1;1;69;47487
1;-1;1;69;47557
1;-1;1;9;47813
1;-1;1;22;48258
1;-1;1;10;48336
1;-1;1;10;48729
1;-1;1;9;48843
1;-1;1;9;50148
1;-1;1;9;50553
1;-1;1;9;51099
1;-1;1;22;51175
1;-1;1;7;51734
1;-1;1;9;51791
1;-1;1;33;53216
1;-1;1;16;53308
1;-1;1;10;53413
1;-1;1;33;53555
1;-1;1;10;53606
1;-1;1;32;53588
1;-1;1;33;53850
1;-1;1;10;53973
1;-1;1;33;54042
1;-1;1;3;54055
1;-1;1;32;54105
1;-1;1;33;54251
1;-1;1;10;55259
1;-1;1;32;56947
1;-1;1;5;63371
1;-1;1;5;73991
1;-1;1;32;88581
1;-1;1;9;88592
1;-1;1;57;88703
1;-1;1;3;89015
1;-1;1;22;89087
1;-1;1;11;89285
1;-1;1;3;89465
1;-1;1;36;90313
1;-1;1;17;90415
1;-1;1;27;90475
1;-1;1;3;90658
1;-1;1;15;90665
1;-1;1;32;90682
1;-1;1;57;90800
1;-1;1;10;91204
1;-1;1;10;91274
1;-1;1;17;91320
1;-1;1;57;91376
1;-1;1;27;91433
1;-1;1;15;91515
1;-1;1;32;91764
1;-1;1;47;92059
1;-1;1;15;92252
1;-1;1;3;92358
1;-1;1;47;92549
1;-1;1;27;92625
1;-1;1;3;92762
1;-1;1;55;194512
1;-1;1;39;194618
1;-1;1;33;194758
1;-1;1;22;194795
1;-1;1;33;195064
1;-1;1;29;195061
1;-1;1;33;195403
1;-1;1;22;195434
1;-1;1;39;195495
1;-1;1;69;195541
1;-1;1;29;195543
1;-1;1;22;195627
1;-1;1;17;195697
1;-1;1;14;195744
1;-1;1;17;195744
1;-1;1;49;195766
1;-1;1;22;195826
1;-1;1;11;196009
1;-1;1;14;196056
1;-1;1;49;196093
1;-1;1;29;196178
1;-1;1;11;196213
1;-1;1;69;196270
1;-1;1;69;196374
1;-1;1;14;196441
1;-1;1;22;196441
1;-1;1;39;196493
1;-1;1;29;196534
1;-1;1;14;196593
1;-1;1;60;196626
1;-1;1;22;196818
1;-1;1;22;196885
1;-1;1;69;196983
1;-1;1;22;196984
1;-1;1;17;196984
1;-1;1;49;197011
1;-1;1;69;197121
1;-1;1;69;197150
1;-1;1;22;197445
1;-1;1;22;197445
1;-1;1;22;197565
1;-1;1;17;197565
1;-1;1;14;197638
1;-1;1;3;197639
1;-1;1;39;197656
1;-1;1;69;197818
1;-1;1;22;197896
1;-1;1;25;198045
1;-1;1;17;198052
1;-1;1;22;198076
1;-1;1;17;198337
1;-1;1;22;198357
1;-1;1;69;198496
1;-1;1;22;198496
1;-1;1;69;198496
1;-1;1;49;198592
1;-1;1;22;198592
1;-1;1;69;198592
1;-1;1;22;198592
1;-1;1;17;198747
1;-1;1;69;198747
1;-1;1;17;198747
1;-1;1;69;198776
1;-1;1;22;198789
1;-1;1;49;198854
1;-1;1;49;198859
1;-1;1;17;198929
1;-1;1;11;198962
1;-1;1;39;199007
1;-1;1;22;199115
1;-1;1;11;199115
1;-1;2;19;45205
1;-1;2;16;48957
1;-1;2;10;48994
1;-1;2;63;49455
1;-1;2;9;53960
1;-1;2;47;54040
1;-1;2;9;90708
1;-1;2;9;91132
1;-1;2;59;94542
1;-1;2;56;94860
1;-1;2;47;105752
1;-1;2;47;106162
1;-1;2;47;106357
1;-1;2;42;106381
1;-1;2;57;106521
1;-1;2;39;106595
1;-1;2;76;106822
1;-1;2;76;106965
1;-1;2;64;108204
1;-1;2;14;108333
1;-1;2;14;108415
1;-1;2;64;108822
1;-1;2;56;109889
1;-1;2;22;110142
1;-1;2;12;110807
1;-1;2;19;111003
1;-1;2;30;111966
1;-1;2;19;112319
1;-1;2;47;113904
1;-1;2;47;114059
1;-1;2;47;115037
1;-1;2;57;115267
1;-1;2;47;115384
1;-1;2;47;115589
1;-1;2;60;115776
1;-1;2;12;115884
1;-1;2;60;116158
1;-1;2;56;116733
1;-1;2;4;117465
1;-1;2;32;125662
1;-1;2;43;125960
1;-1;2;36;127326
1;-1;2;4;127464
1;-1;2;36;129935
1;-1;2;60;130139
1;-1;2;65;130244
1;-1;2;3;131088
1;-1;2;15;131678
1;-1;2;45;134578
1;-1;2;61;136169
1;-1;2;66;136613
1;-1;2;27;137362
1;-1;2;63;138159
1;-1;2;63;140991
1;-1;3;32;170
1;-1;3;32;1314
1;-1;3;61;1466
1;-1;3;32;1664
1;-1;3;45;1790
1;-1;3;32;1924
1;-1;3;61;2298
1;-1;3;61;2686
1;-1;3;7;3222
1;-1;3;19;3381
1;-1;3;61;3385
1;-1;3;36;3385
1;-1;3;55;34971
1;-1;3;28;35597
1;-1;3;15;35699
1;-1;3;21;35885
1;-1;3;63;36265
1;-1;3;21;36389
1;-1;3;59;36563
1;-1;3;63;37069
1;-1;3;47;37245
1;-1;3;4;37808
1;-1;3;56;38080
1;-1;3;7;38459
1;-1;3;7;45476
1;-1;3;10;46712
1;-1;3;1;46794
1;-1;3;9;47318
1;-1;3;7;47738
1;-1;3;9;48250
1;-1;3;9;48851
1;-1;3;9;49788
1;-1;3;7;50594
1;-1;3;9;51256
1;-1;3;17;53876
1;-1;3;16;53902
1;-1;3;1;53959
1;-1;3;10;53976
1;-1;3;33;54333
1;-1;3;33;54822
1;-1;3;33;55139
1;-1;3;33;55141
1;-1;3;33;56984
1;-1;3;33;58032
1;-1;3;43;87434
1;-1;3;32;87443
1;-1;3;9;87546
1;-1;3;43;87947
1;-1;3;9;88469
1;-1;3;22;88470
1;-1;3;22;88802
1;-1;3;1;89069
1;-1;3;1;89259
1;-1;3;43;90223
1;-1;3;15;90381
1;-1;3;43;90464
1;-1;3;17;90462
1;-1;3;27;90538
1;-1;3;57;90711
1;-1;3;12;90710
1;-1;3;15;90797
1;-1;3;32;90885
1;-1;3;43;91006
1;-1;3;47;91108
1;-1;3;64;91274
1;-1;3;36;91346
1;-1;3;27;91363
1;-1;3;57;91369
1;-1;3;31;91490
1;-1;3;12;91664
1;-1;3;57;91914
1;-1;3;36;92051
1;-1;3;57;92160
1;-1;3;64;92220
1;-1;3;15;92274
1;-1;3;27;92275
1;-1;3;10;92306
1;-1;3;36;92347
1;-1;3;32;92438
1;-1;3;57;92461
1;-1;3;12;92579
1;-1;3;43;92737
1;-1;3;1;92817
1;-1;3;4;92846
1;-1;3;47;92859
1;-1;3;57;92983
1;-1;3;43;93003
1;-1;3;64;93078
1;-1;3;32;93079
1;-1;3;64;93089
1;-1;3;27;93128
1;-1;3;27;93277
1;-1;3;17;93439
1;-1;3;43;93494
1;-1;3;57;93494
1;-1;3;36;93570
1;-1;3;43;93643
1;-1;3;43;93749
1;-1;3;31;93900
1;-1;3;12;93900
1;-1;3;64;93913
1;-1;3;36;93901
1;-1;3;12;94038
1;-1;3;36;94086
1;-1;3;17;94138
1;-1;3;31;94248
1;-1;3;27;94309
1;-1;3;12;94630
1;-1;3;75;94837
1;-1;3;36;94847
1;-1;3;63;95050
1;-1;3;64;95285
1;-1;3;4;95375
1;-1;3;63;95498
1;-1;3;16;96162
1;-1;3;4;96276
1;-1;3;12;96319
1;-1;3;4;96438
1;-1;3;63;96521
1;-1;3;33;96802
1;-1;3;4;96850
1;-1;3;36;96872
1;-1;3;43;96948
1;-1;3;43;96950
1;-1;3;4;96995
1;-1;3;63;97414
1;-1;3;15;97449
1;-1;3;12;97501
1;-1;3;36;97638
1;-1;3;56;97812
1;-1;3;45;97967
1;-1;3;34;97970
1;-1;3;33;98196
1;-1;3;32;98392
1;-1;3;32;98591
1;-1;3;33;98745
1;-1;3;32;99035
1;-1;3;47;99141
1;-1;3;32;99236
1;-1;3;32;100168
1;-1;3;32;100285
1;-1;3;33;100285
1;-1;3;33;100554
1;-1;3;14;100554
1;-1;3;33;100555
1;-1;3;33;100556
1;-1;3;14;100590
1;-1;3;33;100743
1;-1;3;32;100847
1;-1;3;64;101389
1;-1;3;32;102231
1;-1;3;32;102428
1;-1;3;11;102511
1;-1;3;40;103151
1;-1;3;59;103536
1;-1;3;40;103838
1;-1;3;36;103852
1;-1;3;40;104030
1;-1;3;40;104682
1;-1;3;74;104784
1;-1;3;59;105719
1;-1;3;36;105849
1;-1;3;57;106196
1;-1;3;40;106284
1;-1;3;32;107036
1;-1;3;56;107105
1;-1;3;57;107506
1;-1;3;56;107728
1;-1;3;40;107780
1;-1;3;40;108642
1;-1;3;56;108793
1;-1;3;40;108829
1;-1;3;59;108965
1;-1;3;4;109044
1;-1;3;56;109066
1;-1;3;40;109947
1;-1;3;22;109908
1;-1;3;32;110299
1;-1;3;40;110424
1;-1;3;64;110564
1;-1;3;59;110964
1;-1;3;56;110995
1;-1;3;59;111170
1;-1;3;19;111205
1;-1;3;40;111209
1;-1;3;74;111567
1;-1;3;12;111909
1;-1;3;59;111987
1;-1;3;12;112174
1;-1;3;12;112565
1;-1;3;55;112923
1;-1;3;28;113140
1;-1;3;19;113270
1;-1;3;56;113456
1;-1;3;56;113679
1;-1;3;19;113847
1;-1;3;4;114132
1;-1;3;56;114186
1;-1;3;57;114576
1;-1;3;55;114740
1;-1;3;55;114910
1;-1;3;32;120557
1;-1;3;32;121098
1;-1;3;43;122179
1;-1;3;11;122508
1;-1;3;14;122517
1;-1;3;61;123114
1;-1;3;32;123557
1;-1;3;36;123815
1;-1;3;63;124243
1;-1;3;43;124299
1;-1;3;63;124474
1;-1;3;63;124627
1;-1;3;14;124878
1;-1;3;39;125009
1;-1;3;45;125084
1;-1;3;59;125108
1;-1;3;44;125143
1;-1;3;43;125218
1;-1;3;59;125256
1;-1;3;43;125264
1;-1;3;32;125350
1;-1;3;60;125469
1;-1;3;43;126015
1;-1;3;33;126134
1;-1;3;12;126253
1;-1;3;43;126475
1;-1;3;61;126597
1;-1;3;32;127271
1;-1;3;63;128331
1;-1;3;33;128335
1;-1;3;63;128469
1;-1;3;39;128915
1;-1;3;63;129405
1;-1;3;33;129502
1;-1;3;2;129839
1;-1;3;39;130301
1;-1;3;55;130300
1;-1;3;36;130466
1;-1;3;2;131112
1;-1;3;65;131115
1;-1;3;27;131250
1;-1;3;63;131250
1;-1;3;39;131250
1;-1;3;33;131260
1;-1;3;32;131316
1;-1;3;27;131338
1;-1;3;33;132390
1;-1;3;33;133364
1;-1;3;64;179578
1;-1;3;61;179734
1;-1;3;55;180057
1;-1;3;64;180275
1;-1;3;11;180319
1;-1;3;11;180371
1;-1;3;61;180592
1;-1;3;47;180701
1;-1;3;64;180743
1;-1;3;11;180814
1;-1;3;61;180931
1;-1;3;47;181588
1;-1;3;10;181902
1;-1;3;45;182650
1;-1;3;34;182721
1;-1;3;34;183122
1;-1;3;15;183512
1;-1;3;22;183564
1;-1;3;75;183665
1;-1;3;47;184400
1;-1;3;32;184427
1;-1;3;12;184741
1;-1;3;36;184741
1;-1;3;47;184767
1;-1;3;57;184767
1;-1;3;32;184848
1;-1;3;64;184868
1;-1;3;36;184878
1;-1;3;32;185193
1;-1;3;64;185231
1;-1;3;12;185632
1;-1;3;57;185698
1;-1;3;47;185816
1;-1;3;56;185924
1;-1;3;56;186179
1;-1;3;63;187210
1;-1;3;63;187806
1;-1;3;49;187894
1;-1;3;12;188139
1;-1;3;12;188664
1;-1;3;47;188799
1;-1;3;63;189008
1;-1;3;56;189052
1;-1;3;56;189330
1;-1;3;65;190097
1;-1;3;65;190250
1;-1;3;65;190438
1;-1;3;65;190627
1;-1;3;65;190773
1;-1;3;65;190989
1;-1;3;65;191205
1;-1;3;65;191332
1;-1;3;65;191560
1;-1;3;65;191771
1;-1;3;65;191982
1;-1;3;65;192203
1;-1;3;65;192408
1;-1;3;65;192643
1;-1;3;65;192864
1;-1;3;65;193071
1;-1;3;65;193229
1;-1;3;65;193412
1;-1;3;29;197073
1;-1;3;11;197178
1;-1;3;17;197244
1;-1;3;32;197261
1;-1;3;69;197413
1;-1;3;49;197482
1;-1;3;8;197509
1;-1;3;49;197589
1;-1;3;1;197714
1;-1;3;17;197850
1;-1;3;32;198124
1;-1;4;52;30707
1;-1;4;43;31090
1;-1;4;76;31308
1;-1;4;16;31758
1;-1;4;28;32055
1;-1;4;63;32111
1;-1;4;21;32376
1;-1;4;15;32459
1;-1;4;28;32568
1;-1;4;64;32743
1;-1;4;76;32797
1;-1;4;63;32987
1;-1;4;21;33042
1;-1;4;12;33886
1;-1;4;12;34141
1;-1;4;43;34776
1;-1;4;19;34840
1;-1;4;12;35173
1;-1;4;19;35217
1;-1;4;5;35800
1;-1;4;47;37635
1;-1;4;3;37759
1;-1;4;7;38157
1;-1;4;11;89711
1;-1;4;15;89839
1;-1;4;39;90200
1;-1;4;12;92317
1;-1;4;57;92430
1;-1;4;3;92798
1;-1;4;15;93526
1;-1;4;36;94500
1;-1;4;56;95155
1;-1;4;3;95327
1;-1;4;43;95813
1;-1;4;12;95854
1;-1;4;63;95952
1;-1;4;12;95999
1;-1;4;64;96208
1;-1;4;3;96390
1;-1;4;56;96429
1;-1;4;36;96616
1;-1;4;3;96802
1;-1;4;15;96930
1;-1;4;3;96947
1;-1;4;36;97418
1;-1;4;42;97561
1;-1;4;8;97691
1;-1;4;16;98136
1;-1;4;42;98163
1;-1;4;8;98508
1;-1;4;59;98756
1;-1;4;60;98865
1;-1;4;60;99257
1;-1;4;42;99601
1;-1;4;16;99833
1;-1;4;64;99947
1;-1;4;42;99966
1;-1;4;16;100213
1;-1;4;42;100213
1;-1;4;59;100213
1;-1;4;76;100235
1;-1;4;60;100316
1;-1;4;42;100360
1;-1;4;47;100463
1;-1;4;48;100563
1;-1;4;59;100592
1;-1;4;33;100691
1;-1;4;27;100762
1;-1;4;16;100762
1;-1;4;8;100860
1;-1;4;60;101129
1;-1;4;42;101226
1;-1;4;33;101241
1;-1;4;64;101271
1;-1;4;76;101772
1;-1;4;55;101830
1;-1;4;60;102012
1;-1;4;14;102034
1;-1;4;33;102091
1;-1;4;33;102260
1;-1;4;59;102571
1;-1;4;14;102775
1;-1;4;43;103070
1;-1;4;71;103257
1;-1;4;71;103624
1;-1;4;43;104100
1;-1;4;43;104897
1;-1;4;43;105488
1;-1;4;43;105800
1;-1;4;43;106183
1;-1;4;43;108007
1;-1;4;59;108975
1;-1;4;56;109133
1;-1;4;14;109153
1;-1;4;3;109179
1;-1;4;43;109264
1;-1;4;56;109811
1;-1;4;59;110018
1;-1;4;22;110034
1;-1;4;32;110251
1;-1;4;64;110572
1;-1;4;59;110901
1;-1;4;56;111125
1;-1;4;19;111187
1;-1;4;55;111412
1;-1;4;59;111997
1;-1;4;12;112037
1;-1;4;12;112133
1;-1;4;59;112500
1;-1;4;55;112661
1;-1;4;56;113040
1;-1;4;19;113184
1;-1;4;3;113668
1;-1;4;3;113768
1;-1;4;56;113814
1;-1;4;3;114099
1;-1;4;3;114142
1;-1;4;56;114154
1;-1;4;27;114411
1;-1;4;57;114510
1;-1;4;56;114614
1;-1;4;56;114740
1;-1;4;27;114858
1;-1;4;19;114861
1;-1;4;3;114866
1;-1;4;32;115174
1;-1;4;32;116045
1;-1;4;12;116388
1;-1;4;60;116403
1;-1;4;57;116850
1;-1;4;60;117682
1;-1;4;11;122453
1;-1;4;14;122495
1;-1;4;32;122496
1;-1;4;61;122499
1;-1;4;14;122678
1;-1;4;45;126713
1;-1;4;60;127294
1;-1;4;39;127334
1;-1;4;2;127432
1;-1;4;27;127655
1;-1;4;39;127682
1;-1;4;45;127764
1;-1;4;45;127936
1;-1;4;15;128065
1;-1;4;8;128715
1;-1;4;27;141789
1;-1;4;60;143365
1;-1;4;59;143394
1;-1;4;12;143608
1;-1;4;17;198336
1;-1;4;32;198369
1;-1;4;61;198385
1;-1;4;17;198514
1;-1;4;12;198528
1;-1;4;56;198649
1;-1;4;69;198732
1;-1;4;56;198765
1;-1;4;65;198895
1;-1;4;32;199063
1;-1;4;11;199112
1;-1;4;29;199202
1;-1;4;11;199369
1;-1;4;61;199371
1;-1;4;17;199459
1;-1;4;46;199459
1;-1;4;29;199459
1;-1;4;46;199599
1;-1;4;46;199715
1;-1;4;29;199820
1;-1;4;17;199837
1;-1;4;46;200029
1;-1;4;29;200030
1;-1;4;8;200135
1;-1;4;29;200181
1;-1;4;46;200182
1;-1;4;32;200227
1;-1;4;17;200347
1;-1;4;61;200390
1;-1;4;61;200541
1;-1;4;46;200559
1;-1;4;12;200660
1;-1;4;65;200678
1;-1;4;61;200720
1;-1;4;61;200738
1;-1;4;8;200803
1;-1;4;8;201208
1;-1;4;17;201310
1;-1;4;8;201430
1;-1;4;60;201500
1;-1;4;29;201518
1;-1;4;8;201591
1;-1;4;61;201688
1;-1;4;29;201855
1;-1;4;49;201865
1;-1;4;17;201887
1;-1;4;12;201977
1;-1;4;32;201981
1;-1;4;12;202151
1;-1;4;65;202334
1;-1;4;32;202419
1;-1;4;61;202645
1;-1;4;61;202909
1;-1;4;17;203300
1;-1;4;65;203302
1;-1;4;45;203393
1;-1;5;37;29400
1;-1;5;26;29417
1;-1;5;6;29658
1;-1;5;35;30082
1;-1;5;15;30086
1;-1;5;60;30153
1;-1;5;15;31021
1;-1;5;60;31230
1;-1;5;35;31271
1;-1;5;35;31731
1;-1;5;6;32028
1;-1;5;60;32077
1;-1;5;15;32186
1;-1;5;6;32295
1;-1;5;6;32450
1;-1;5;60;33523
1;-1;5;35;33630
1;-1;5;15;33652
1;-1;5;6;34043
1;-1;5;15;34198
1;-1;5;12;34266
1;-1;5;6;34976
1;-1;5;35;35387
1;-1;5;6;35653
1;-1;5;43;35679
1;-1;5;51;35787
1;-1;5;19;35792
1;-1;5;4;35806
1;-1;5;16;35817
1;-1;5;12;36005
1;-1;5;16;36093
1;-1;5;6;36191
1;-1;5;43;36359
1;-1;5;43;36360
1;-1;5;6;36415
1;-1;5;12;36592
1;-1;5;12;36720
1;-1;5;60;36809
1;-1;5;43;36982
1;-1;5;71;37140
1;-1;5;60;37705
1;-1;5;6;37960
1;-1;5;60;38082
1;-1;5;43;39601
1;-1;5;1;63380
1;-1;5;1;71104
