# Format: msg_id;user_id;created;type;dst
301;45;122236;B;-1
302;45;122245;B;-1
303;45;191416;B;-1
304;45;191425;B;-1
305;47;7935;B;-1
306;47;18373;B;-1
307;47;18399;B;-1
308;47;100660;B;-1
309;47;102592;B;-1
310;47;109792;B;-1
311;47;116157;B;-1
312;47;142777;B;-1
313;47;142787;B;-1
314;47;181004;B;-1
315;47;197509;B;-1
316;47;206729;B;-1
317;48;100711;B;-1
318;48;119265;B;-1
319;48;119287;B;-1
320;48;121937;B;-1
321;49;8786;B;-1
322;50;140541;B;-1
323;51;8357;B;-1
324;52;9696;B;-1
325;52;11537;B;-1
326;52;13235;B;-1
327;52;15909;B;-1
328;52;17902;B;-1
329;52;29737;B;-1
330;52;29747;B;-1
331;52;31172;B;-1
332;52;33198;B;-1
333;52;94590;B;-1
334;52;94606;B;-1
335;52;94618;B;-1
336;52;99039;B;-1
337;52;101315;B;-1
338;52;102979;B;-1
339;52;177616;B;-1
340;52;178862;B;-1
341;52;180973;B;-1
342;52;191695;B;-1
343;52;198057;B;-1
344;52;198073;B;-1
345;52;199383;B;-1
346;53;97787;B;-1
347;54;36135;B;-1
348;54;36146;B;-1
349;55;48718;B;-1
350;55;100056;B;-1
351;55;100072;B;-1
352;55;101707;B;-1
353;55;105439;B;-1
354;55;113417;B;-1
355;55;117365;B;-1
356;55;121127;B;-1
357;55;121139;B;-1
358;55;181458;B;-1
359;55;185064;B;-1
360;55;194342;B;-1
361;55;198598;B;-1
362;55;198620;B;-1
363;55;200202;B;-1
364;55;277455;B;-1
365;56;37825;B;-1
366;56;104167;B;-1
367;56;108357;B;-1
368;56;113106;B;-1
369;56;119820;B;-1
370;56;121755;B;-1
371;56;183869;B;-1
372;56;187949;B;-1
373;56;187967;B;-1
374;56;187977;B;-1
375;56;195305;B;-1
376;56;202744;B;-1
377;56;202758;B;-1
378;56;280559;B;-1
379;57;102976;B;-1
380;57;102994;B;-1
381;57;108526;B;-1
382;59;51205;B;-1
383;59;105939;B;-1
384;59;105955;B;-1
385;59;114478;B;-1
386;59;114486;B;-1
387;59;117412;B;-1
388;59;121257;B;-1
389;59;121272;B;-1
390;59;138175;B;-1
391;60;99662;B;-1
392;60;99675;B;-1
393;60;203646;B;-1
394;60;203676;B;-1
395;60;205484;B;-1
396;60;207434;B;-1
397;61;9504;B;-1
398;61;17175;B;-1
399;61;17183;B;-1
400;62;34478;B;-1
401;63;7715;B;-1
402;63;11763;B;-1
403;63;16236;B;-1
404;63;16248;B;-1
405;63;29461;B;-1
406;63;31674;B;-1
407;63;33698;B;-1
408;63;35094;B;-1
409;63;95052;B;-1
410;63;99403;B;-1
411;63;100175;B;-1
412;63;116411;B;-1
413;63;117823;B;-1
414;64;34112;B;-1
415;64;34135;B;-1
416;64;101957;B;-1
417;64;102018;B;-1
418;64;184367;B;-1
419;64;200941;B;-1
420;64;203605;B;-1
421;65;12613;B;-1
422;65;14384;B;-1
423;65;16549;B;-1
424;65;21463;B;-1
425;65;26696;B;-1
426;65;26704;B;-1
427;65;102357;B;-1
428;65;102368;B;-1
429;65;102430;B;-1
430;65;111301;B;-1
431;65;111310;B;-1
432;65;111318;B;-1
433;65;117962;B;-1
434;65;119733;B;-1
435;65;121933;B;-1
436;65;138845;B;-1
437;65;141602;B;-1
438;65;196973;B;-1
439;65;196983;B;-1
440;66;6208;B;-1
441;66;13224;B;-1
442;66;13241;B;-1
443;66;15531;B;-1
444;66;21439;B;-1
445;66;21452;B;-1
446;66;26775;B;-1
447;66;26784;B;-1
448;66;31337;B;-1
449;66;33567;B;-1
450;66;34145;B;-1
451;66;53390;B;-1
452;66;95568;B;-1
453;66;95580;B;-1
454;66;102045;B;-1
455;66;102061;B;-1
456;66;102070;B;-1
457;66;111501;B;-1
458;66;111509;B;-1
459;66;111517;B;-1
460;66;118938;B;-1
461;66;118951;B;-1
462;66;121865;B;-1
463;66;183902;B;-1
464;66;184702;B;-1
465;66;187955;B;-1
466;66;187962;B;-1
467;66;194668;B;-1
468;66;196998;B;-1
469;66;197011;B;-1
470;66;199371;B;-1
471;66;200436;B;-1
472;66;203081;B;-1
473;66;204442;B;-1
474;66;205895;B;-1
475;69;9121;B;-1
476;69;12815;B;-1
477;69;30773;B;-1
478;69;194240;B;-1
479;69;202500;B;-1
480;69;202514;B;-1
481;71;113154;B;-1
482;71;113172;B;-1
483;71;113181;B;-1
484;71;122362;B;-1
485;71;122375;B;-1
486;71;185929;B;-1
487;71;203694;B;-1
488;71;204333;B;-1
489;71;204348;B;-1
490;71;205205;B;-1
491;72;6985;B;-1
492;72;12510;B;-1
493;72;91128;B;-1
494;73;8368;B;-1
495;73;12474;B;-1
496;73;13828;B;-1
497;73;15480;B;-1
498;73;20157;B;-1
499;73;20186;B;-1
500;73;24413;B;-1
501;73;24422;B;-1
502;73;32157;B;-1
503;73;32163;B;-1
504;73;35433;B;-1
505;73;45909;B;-1
506;73;96483;B;-1
507;73;96489;B;-1
508;73;99438;B;-1
509;74;17007;B;-1
510;74;25148;B;-1
511;74;29464;B;-1
512;74;48510;B;-1
513;74;98937;B;-1
514;74;106349;B;-1
515;74;111404;B;-1
516;74;111434;B;-1
517;74;134469;B;-1
518;74;192944;B;-1
519;74;197939;B;-1
520;75;6297;B;-1
521;75;21475;B;-1
522;75;91437;B;-1
523;75;105857;B;-1
524;76;6307;B;-1
525;76;14716;B;-1
